event_index,true_population,condition,replicate
0,Myeloid,control,5
1,junk_doublet,control,5
2,Myeloid,control,5
3,junk_debris,control,5
4,junk_noise,control,5
5,Neutrophil,control,5
6,NK,control,5
7,Myeloid,control,5
8,Myeloid,control,5
9,junk_debris,control,5
10,junk_debris,control,5
11,junk_dead,control,5
12,junk_doublet,control,5
13,junk_dead,control,5
14,CD4_T,control,5
15,junk_noise,control,5
16,B,control,5
17,Neutrophil,control,5
18,junk_doublet,control,5
19,CD8_T,control,5
20,Neutrophil,control,5
21,junk_dead,control,5
22,junk_debris,control,5
23,junk_doublet,control,5
24,B,control,5
25,junk_doublet,control,5
26,B,control,5
27,B,control,5
28,junk_debris,control,5
29,Neutrophil,control,5
30,Myeloid,control,5
31,Myeloid,control,5
32,CD4_T,control,5
33,Myeloid,control,5
34,CD4_T,control,5
35,junk_debris,control,5
36,junk_dead,control,5
37,CD4_T,control,5
38,junk_dead,control,5
39,B,control,5
40,junk_debris,control,5
41,B,control,5
42,Myeloid,control,5
43,junk_noise,control,5
44,CD4_T,control,5
45,junk_dead,control,5
46,Neutrophil,control,5
47,junk_dead,control,5
48,junk_debris,control,5
49,CD4_T,control,5
50,B,control,5
51,junk_debris,control,5
52,junk_debris,control,5
53,junk_dead,control,5
54,junk_doublet,control,5
55,junk_dead,control,5
56,junk_debris,control,5
57,junk_dead,control,5
58,Myeloid,control,5
59,junk_debris,control,5
60,junk_dead,control,5
61,junk_debris,control,5
62,junk_noise,control,5
63,CD4_T,control,5
64,CD4_T,control,5
65,junk_dead,control,5
66,junk_debris,control,5
67,junk_doublet,control,5
68,junk_noise,control,5
69,Neutrophil,control,5
70,B,control,5
71,junk_noise,control,5
72,junk_debris,control,5
73,junk_dead,control,5
74,junk_noise,control,5
75,junk_doublet,control,5
76,B,control,5
77,junk_noise,control,5
78,junk_debris,control,5
79,junk_debris,control,5
80,junk_dead,control,5
81,B,control,5
82,junk_doublet,control,5
83,junk_noise,control,5
84,junk_debris,control,5
85,junk_dead,control,5
86,Neutrophil,control,5
87,junk_noise,control,5
88,junk_debris,control,5
89,junk_noise,control,5
90,junk_debris,control,5
91,junk_noise,control,5
92,CD4_T,control,5
93,junk_debris,control,5
94,junk_doublet,control,5
95,junk_noise,control,5
96,junk_debris,control,5
97,Neutrophil,control,5
98,junk_debris,control,5
99,junk_doublet,control,5
100,Neutrophil,control,5
101,junk_dead,control,5
102,junk_debris,control,5
103,junk_debris,control,5
104,B,control,5
105,junk_noise,control,5
106,CD4_T,control,5
107,B,control,5
108,junk_dead,control,5
109,junk_debris,control,5
110,CD4_T,control,5
111,junk_debris,control,5
112,junk_doublet,control,5
113,Neutrophil,control,5
114,junk_debris,control,5
115,junk_debris,control,5
116,junk_noise,control,5
117,B,control,5
118,junk_dead,control,5
119,CD4_T,control,5
120,DC,control,5
121,B,control,5
122,Neutrophil,control,5
123,junk_debris,control,5
124,B,control,5
125,junk_debris,control,5
126,junk_debris,control,5
127,B,control,5
128,junk_dead,control,5
129,B,control,5
130,junk_noise,control,5
