event_index,true_population,condition,replicate
0,B,control,3
1,CD8_T,control,3
2,junk_noise,control,3
3,junk_doublet,control,3
4,junk_noise,control,3
5,junk_debris,control,3
6,junk_debris,control,3
7,junk_debris,control,3
8,Myeloid,control,3
9,junk_noise,control,3
10,junk_dead,control,3
11,junk_dead,control,3
12,junk_debris,control,3
13,junk_noise,control,3
14,B,control,3
15,junk_debris,control,3
16,junk_dead,control,3
17,CD4_T,control,3
18,junk_dead,control,3
19,B,control,3
20,junk_debris,control,3
21,Myeloid,control,3
22,junk_dead,control,3
23,junk_noise,control,3
24,junk_debris,control,3
25,junk_doublet,control,3
26,B,control,3
27,junk_dead,control,3
28,CD4_T,control,3
29,B,control,3
30,junk_dead,control,3
31,junk_doublet,control,3
32,junk_doublet,control,3
33,Neutrophil,control,3
34,junk_debris,control,3
35,B,control,3
36,CD4_T,control,3
37,junk_noise,control,3
38,NK,control,3
39,junk_debris,control,3
40,B,control,3
41,junk_debris,control,3
42,junk_dead,control,3
43,junk_dead,control,3
44,junk_debris,control,3
45,junk_dead,control,3
46,B,control,3
47,B,control,3
48,junk_noise,control,3
49,junk_noise,control,3
50,Myeloid,control,3
51,junk_debris,control,3
52,junk_dead,control,3
53,junk_debris,control,3
54,Myeloid,control,3
55,junk_doublet,control,3
56,CD4_T,control,3
57,CD4_T,control,3
58,CD8_T,control,3
59,Neutrophil,control,3
60,CD4_T,control,3
61,junk_debris,control,3
62,junk_debris,control,3
63,junk_noise,control,3
64,junk_debris,control,3
65,NK,control,3
66,B,control,3
67,junk_doublet,control,3
68,junk_dead,control,3
69,junk_debris,control,3
70,junk_dead,control,3
71,junk_debris,control,3
72,junk_debris,control,3
73,Myeloid,control,3
74,NK,control,3
75,junk_dead,control,3
76,CD8_T,control,3
77,junk_doublet,control,3
78,junk_dead,control,3
79,junk_doublet,control,3
80,junk_dead,control,3
81,junk_doublet,control,3
82,junk_doublet,control,3
83,junk_doublet,control,3
84,junk_debris,control,3
85,junk_doublet,control,3
86,B,control,3
87,junk_debris,control,3
88,junk_dead,control,3
89,junk_dead,control,3
90,junk_dead,control,3
91,junk_noise,control,3
92,junk_doublet,control,3
93,junk_debris,control,3
94,Neutrophil,control,3
95,Myeloid,control,3
96,junk_dead,control,3
97,CD8_T,control,3
98,CD8_T,control,3
99,Neutrophil,control,3
100,junk_debris,control,3
