event_index,true_population,condition,replicate
0,junk_debris,control,1
1,junk_debris,control,1
2,junk_debris,control,1
3,junk_debris,control,1
4,B,control,1
5,Myeloid,control,1
6,junk_doublet,control,1
7,junk_doublet,control,1
8,B,control,1
9,junk_debris,control,1
10,junk_debris,control,1
11,junk_debris,control,1
12,junk_doublet,control,1
13,junk_debris,control,1
14,CD4_T,control,1
15,CD4_T,control,1
16,junk_doublet,control,1
17,junk_doublet,control,1
18,junk_debris,control,1
19,junk_debris,control,1
20,junk_dead,control,1
21,junk_dead,control,1
22,junk_doublet,control,1
23,junk_noise,control,1
24,junk_debris,control,1
25,junk_doublet,control,1
26,junk_debris,control,1
27,junk_debris,control,1
28,junk_debris,control,1
29,B,control,1
30,junk_debris,control,1
31,junk_debris,control,1
32,junk_dead,control,1
33,junk_dead,control,1
34,junk_doublet,control,1
35,junk_debris,control,1
36,junk_dead,control,1
37,junk_debris,control,1
38,junk_debris,control,1
39,junk_doublet,control,1
40,junk_noise,control,1
41,Myeloid,control,1
42,junk_debris,control,1
43,B,control,1
44,Myeloid,control,1
45,B,control,1
46,junk_noise,control,1
47,junk_noise,control,1
48,CD8_T,control,1
49,Myeloid,control,1
50,CD8_T,control,1
51,junk_debris,control,1
52,junk_doublet,control,1
53,junk_noise,control,1
54,junk_doublet,control,1
55,junk_debris,control,1
56,junk_doublet,control,1
57,junk_debris,control,1
58,Myeloid,control,1
59,junk_noise,control,1
60,junk_noise,control,1
61,junk_noise,control,1
62,B,control,1
63,junk_debris,control,1
64,junk_doublet,control,1
65,Myeloid,control,1
66,junk_noise,control,1
67,CD4_T,control,1
68,junk_doublet,control,1
69,B,control,1
70,junk_debris,control,1
71,junk_dead,control,1
72,junk_dead,control,1
73,CD4_T,control,1
74,junk_dead,control,1
75,junk_dead,control,1
76,Myeloid,control,1
77,junk_debris,control,1
78,junk_noise,control,1
79,Myeloid,control,1
80,junk_debris,control,1
81,junk_doublet,control,1
82,B,control,1
83,junk_dead,control,1
84,junk_doublet,control,1
85,junk_debris,control,1
86,junk_noise,control,1
87,junk_noise,control,1
88,B,control,1
89,Neutrophil,control,1
90,B,control,1
91,Neutrophil,control,1
92,CD4_T,control,1
93,junk_doublet,control,1
94,junk_debris,control,1
95,Neutrophil,control,1
96,junk_debris,control,1
97,junk_dead,control,1
98,junk_doublet,control,1
99,Neutrophil,control,1
100,junk_debris,control,1
101,junk_doublet,control,1
102,junk_noise,control,1
103,DC,control,1
104,junk_dead,control,1
105,NK,control,1
106,junk_doublet,control,1
107,junk_doublet,control,1
108,junk_debris,control,1
109,B,control,1
110,junk_debris,control,1
111,junk_debris,control,1
112,junk_doublet,control,1
113,DC,control,1
114,junk_doublet,control,1
115,B,control,1
116,CD8_T,control,1
117,junk_doublet,control,1
118,B,control,1
119,junk_debris,control,1
120,B,control,1
121,junk_doublet,control,1
122,junk_debris,control,1
123,junk_dead,control,1
124,junk_noise,control,1
125,CD8_T,control,1
126,Myeloid,control,1
127,CD8_T,control,1
128,junk_noise,control,1
129,junk_debris,control,1
130,junk_debris,control,1
131,junk_doublet,control,1
132,junk_dead,control,1
133,junk_debris,control,1
134,CD8_T,control,1
135,B,control,1
136,junk_debris,control,1
137,junk_debris,control,1
138,CD8_T,control,1
139,junk_doublet,control,1
140,B,control,1
141,B,control,1
142,junk_debris,control,1
143,junk_dead,control,1
144,junk_noise,control,1
145,CD4_T,control,1
146,CD4_T,control,1
147,junk_noise,control,1
148,junk_debris,control,1
149,junk_dead,control,1
150,junk_doublet,control,1
151,junk_debris,control,1
152,junk_debris,control,1
153,B,control,1
154,junk_doublet,control,1
155,Myeloid,control,1
156,junk_doublet,control,1
157,junk_debris,control,1
158,CD4_T,control,1
159,junk_debris,control,1
160,junk_doublet,control,1
161,junk_dead,control,1
162,Neutrophil,control,1
163,junk_debris,control,1
164,junk_noise,control,1
165,CD8_T,control,1
166,NK,control,1
167,junk_debris,control,1
168,junk_noise,control,1
169,junk_debris,control,1
170,junk_noise,control,1
171,junk_noise,control,1
172,junk_doublet,control,1
173,junk_debris,control,1
174,junk_debris,control,1
175,junk_doublet,control,1
176,junk_noise,control,1
177,CD4_T,control,1
178,B,control,1
179,junk_debris,control,1
180,Myeloid,control,1
181,DC,control,1
182,junk_debris,control,1
183,junk_doublet,control,1
184,junk_debris,control,1
185,junk_debris,control,1
186,junk_doublet,control,1
